NHSTID,DIVA_NR,Y_KOORD,X_KOORD,CHSTNAME,CNAME,VTYP,HSTTYP,HAFAS_PRIO,LINKTEXT,ZONEN,SYMB_CODE,SYMB_TEXT,LINIEN,E,N
8502534,7057,,,"Freienbach, Sarenbach",Freienbach,Bus,&nbsp;,0,,181,2,Bus,189,2700486,1228935
8573501,3160,,,"Pfäffikon ZH, Im Spitz",Pfäffikon ZH,Bus,&nbsp;,0,,135,2,Bus,"830,N72",2700722,1246904
8503182,1967,,,"Ottikon (Gossau), Kreisel",Ottikon b Gossau,Bus,&nbsp;,0,,132,2,Bus,"845,867,N86",2701371,1239196
8573499,1886,,,"Pfäffikon ZH, Bahnhof",Pfäffikon ZH,Bus,&nbsp;,0,,135,2,Bus,"825,826,830,831,833,835,837,859,N72",2701747,1247074
8575971,829,,,"Feldbach, Bahnhof",Feldbach,Bus,&nbsp;,0,,133,2,Bus,"970,N95",2701790,1232894
8573803,6377,,,"Pfäffikon SZ, Buchberg",Pfäffikon SZ,Bus,&nbsp;,0,,181,2,Bus,N29,2701847,1227985
8573824,6386,,,"Pfäffikon SZ, Schweizerhof",Pfäffikon SZ,,&nbsp;,0,,181,99,,,2702500,1228775
8583770,6938,,,"Pfäffikon ZH, Güchweg",Pfäffikon ZH,Bus,&nbsp;,0,,135,2,Bus,"835,837",2702522,1246689
8575995,80,,,"Wetzikon ZH, Pflegezentrum",Wetzikon ZH,Bus,&nbsp;,0,,132,2,Bus,"857,858,859,N88",2702674,1241950
8595266,6893,,,"Wetzikon ZH, Zentrum",Wetzikon ZH,Bus,&nbsp;,0,,132,2,Bus,"852,857,N87",2702700,1242643
8503553,2819,,,"Pfäffikon ZH, Wallikon",Pfäffikon ZH,Bus,&nbsp;,0,,135,2,Bus,"833,N72",2703017,1248516
8503634,6382,,,"Pfäffikon SZ, Industrie Ost",Pfäffikon SZ,,&nbsp;,0,,181,99,,,2703175,1228750
8595265,6858,,,"Kempten, Summerau",Kempten,Bus,&nbsp;,0,,132,2,Bus,"858,859",2704093,1243958
8580530,6157,,,"Zell ZH, Mühliwies",Zell ZH,Bus,&nbsp;,0,,170,2,Bus,N68,2704227,1255606
8591746,6479,,,"Rapperswil SG, Bahnhof Süd",Rapperswil SG,Bus,&nbsp;,0,,180,2,Bus,"991,996",2704440,1231270
8576010,2962,,,"Hinwil, Wässeristrasse",Hinwil,Bus,&nbsp;,0,,133,2,Bus,869,2704776,1240212
8591751,6480,,,"Rapperswil SG, Kinderzoo",Rapperswil SG,Bus,&nbsp;,0,,180,2,Bus,"991,996",2704780,1231285
8503211,13740,,,Altendorf SZ,Altendorf,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,,1,Bahn,"S2,S8,SN8",2704900,1228000
8591732,6024,,,"Jona, Kreuzackerstrasse",Jona,Bus,&nbsp;,0,,180,2,Bus,994,2705075,1233000
8591723,3197,,,"Jona, Altersheim Meienberg",Jona,Bus,&nbsp;,0,,180,2,Bus,993,2705152,1232413
8503683,3390,,,Altendorf Seestatt,Altendorf,,&nbsp;,0,,182,99,,,2705633,1228059
8578527,1448,,,"Jona, Kreuz",Jona,,&nbsp;,0,,180,99,,,2705846,1231945
8591741,6025,,,"Jona, Vita-Parcours",Jona,Bus,&nbsp;,0,,180,2,Bus,994,2705856,1232939
8594202,6788,,,"Jona, Schachen",Jona,Bus,&nbsp;,0,,180,2,Bus,991,2705999,1231706
8573670,1113,,,"Zell ZH, Hand",Zell ZH,Bus,&nbsp;,0,,164,2,Bus,682,2706018,1257311
8576104,1209,,,"Hinwil, Bahnhof",Hinwil,Bus,&nbsp;,0,,133,2,Bus,"869,870,875,N88,N89",2706019,1239676
8573545,1518,,,"Saland, Laubberg",Saland,Bus,&nbsp;,0,,172,2,Bus,"835,837,N82",2706077,1249131
8580795,6153,,,"Wila, Espistrasse",Wila,Bus,&nbsp;,0,,171,2,Bus,"807,N68,N82",2706133,1253514
8503396,2433,,,"Rüti ZH, Rekrutierungszentrum",Rüti ZH,Bus,&nbsp;,0,,134,2,Bus,880,2706293,1235280
8591727,2157,,,"Jona, Geberit",Jona,Bus,&nbsp;,0,,180,2,Bus,"991,992,996",2706383,1231393
8506008,12905,,,Wila,Wila,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,171,1,Bahn,"S11,S26",2706403,1252849
8503132,10597,,,Bäretswil,Bäretswil,,&nbsp;,0,,,99,,,2706831,1243913
8578565,6222,,,"Rüti ZH, Löwen",Rüti ZH,,&nbsp;,0,,134,99,,,2706939,1235171
8503139,12639,,,Tann-Dürnten,Tann,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,134,1,Bahn,S26,2707003,1236233
8574478,6551,,,"Lachen SZ, Bahnhof",Lachen SZ,,&nbsp;,0,,,99,,,2707135,1227541
8578564,6223,,,"Rüti ZH, Ferrach",Rüti ZH,Bus,&nbsp;,0,,134,2,Bus,888,2707439,1234825
8594249,6778,,,"Benglen, Langwis",Benglen,Bus,&nbsp;,0,,121,2,Bus,"704,705,744,N74",2690005,1246363
8590646,2884,,,"Herrliberg, Wetzwil",Herrliberg,Bus,&nbsp;,0,,141,2,Bus,974,2690135,1238911
8590590,2616,,,"Dübendorf, Sunnhalde",Dübendorf,Bus,&nbsp;,0,,121,2,Bus,"752,N75",2690135,1249542
8503068,12506,,,Maiacher,Zumikon,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,140,1,Bahn,"S18,SN18",2690139,1242607
8576167,640,,,"Nürensdorf, Chrüzstrass",Nürensdorf,Bus,&nbsp;,0,,122,2,Bus,"658,660,769,N66,N70",2690190,1256630
8573583,1665,,,"Wädenswil, Mugern",Wädenswil,Bus,&nbsp;,0,,152,2,Bus,128,2690633,1230326
8505448,7047,,,"Meilen, Friedhof",Meilen,Bus,&nbsp;,0,,141,2,Bus,"922,N92",2691007,1236357
8588023,1107,,,"Meilen, Hallenbad",Meilen,Bus,&nbsp;,0,,141,2,Bus,"922,N92",2691361,1236424
8576170,449,,,"Nürensdorf, Berg",Nürensdorf,Bus,&nbsp;,0,,122,2,Bus,"659,660,769,N66",2691458,1256288
8588015,3196,,,"Meilen, Alte Sonne",Meilen,Bus,&nbsp;,0,,141,2,Bus,"923,N92",2692169,1235789
8590875,6422,,,"Wädenswil, Tobelrain",Wädenswil,Bus,&nbsp;,0,,152,2,Bus,"123,126,N28",2692438,1231814
8588034,3010,,,"Meilen, Zur Au",Meilen,Bus,&nbsp;,0,,141,2,Bus,"922,N92",2692553,1236540
8588279,3567,,,"Tagelswangen, Gerenhalde",Tagelswangen,Bus,&nbsp;,0,,122,2,Bus,650,2692745,1254128
8588016,3379,,,"Meilen, Au",Meilen,Bus,&nbsp;,0,,141,2,Bus,N92,2692962,1236435
8588031,2102,,,"Meilen, Roren",Meilen,Bus,&nbsp;,0,,141,2,Bus,922,2693151,1237619
8590851,6590,,,"Volketswil, Chappeli",Volketswil,Bus,&nbsp;,0,,130,2,Bus,721,2693340,1249472
8590714,1403,,,"Maur, Kirche",Maur,Bus,&nbsp;,0,,130,2,Bus,"701,743,N71",2693363,1243733
8503206,12958,,,Wädenswil,Wädenswil,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,152,1,Bahn,"S13,S2,S25,S8,SN8",2693659,1231680
8590857,764,,,"Wädenswil, Eichweid",Wädenswil,Bus,&nbsp;,0,,152,2,Bus,"123,126,150,N28",2693702,1230455
8576133,513,,,"Kindhausen ZH, Bodenacher",Kindhausen ZH,Bus,&nbsp;,0,,130,2,Bus,720,2693708,1251214
8587951,2718,,,"Uetikon am See, Bahnhof",Uetikon am See,Bus,&nbsp;,0,,142,2,Bus,"931,932",2693866,1234998
8576123,925,,,"Samstagern, Fälmis",Samstagern,Bus,&nbsp;,0,,153,2,Bus,"170,N29",2693889,1227312
8590863,1624,,,"Wädenswil, Meierhof",Wädenswil,Bus,&nbsp;,0,,152,2,Bus,"125,129",2694156,1230992
8590648,2500,,,"Hinteregg, Station",Hinteregg,,&nbsp;,0,,142,99,,,2694179,1240189
8590860,982,,,"Wädenswil, Giessen",Wädenswil,Bus,&nbsp;,0,,152,2,Bus,125,2694228,1231051
8588044,4801,,,"Uetikon am See, Bergheim",Uetikon am See,Bus,&nbsp;,0,,142,2,Bus,931,2694303,1236458
8588312,142,,,"Effretikon, Kapelle Rikon",Effretikon,Bus,&nbsp;,0,,122,2,Bus,"655,662",2694332,1254320
8594644,6830,,,"Uetikon am See, Forbüelstrasse",Uetikon am See,Bus,&nbsp;,0,,142,2,Bus,932,2694472,1235903
8587682,3656,,,"Männedorf, Dammstrasse",Männedorf,Bus,&nbsp;,0,,142,2,Bus,925,2694889,1234504
8576029,1674,,,"Männedorf, Bahnhof",Männedorf,Bus,&nbsp;,0,,142,2,Bus,"925,940",2694961,1234331
8503287,12485,,,Burghalden,Burghalden,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,153,1,Bahn,S13,2695006,1229407
8581540,3677,,,"Uster, Wildsbergstrasse",Uster,Bus,&nbsp;,0,,131,2,Bus,"817,N81",2695265,1245237
8590946,1020,,,"Winterthur, Grafenstein",Winterthur,Bus,&nbsp;,0,,120,2,Bus,"7,N7",2694906,1261542
